Id,Id2,Geography,With a disability-Male,With a disability-Female,With a disability ER,No disability-Male,No disability-Female,No disability ER,latitude,longitude,state
0400000US01,1,Alabama,26945,17334,0.64,37845,25299,0.67,32.318231,-86.902298,AL
0400000US02,2,Alaska,36660,27099,0.74,45445,32035,0.70,63.588753,-154.493062,AK
0400000US04,4,Arizona,24837,20542,0.83,36753,29035,0.79,34.048928,-111.093731,AZ
0400000US05,5,Arkansas,28060,18591,0.66,35480,26086,0.74,35.20105,-91.831833,AR
0400000US06,6,California,29402,21681,0.74,41063,30911,0.75,36.778261,-119.417932,CA
0400000US08,8,Colorado,29412,18449,0.63,43998,31892,0.72,39.550051,-105.782067,CO
0400000US09,9,Connecticut,32034,21427,0.67,50457,35021,0.69,41.603221,-73.087749,CT
0400000US10,10,Delaware,21584,20401,0.95,41709,32440,0.78,38.910832,-75.52767,DE
0400000US11,11,District of Columbia,45591,36283,0.80,61097,52842,0.86,38.905985,-77.033418,DC
0400000US12,12,Florida,26082,20093,0.77,34687,26761,0.77,27.664827,-81.515754,FL
0400000US13,13,Georgia,30394,19073,0.63,38550,28184,0.73,32.157435,-82.907123,GA
0400000US15,15,Hawaii,36456,30165,0.83,42303,32327,0.76,19.898682,-155.665857,HI
0400000US16,16,Idaho,21488,15300,0.71,35825,21255,0.59,44.068202,-114.742041,ID
0400000US17,17,Illinois,30104,17702,0.59,43815,30534,0.70,40.633125,-89.398528,IL
0400000US18,18,Indiana,27763,17280,0.62,41230,26816,0.65,40.551217,-85.602364,IN
0400000US19,19,Iowa,27109,15429,0.57,41338,28356,0.69,41.878003,-93.097702,IA
0400000US20,20,Kansas,26408,17387,0.66,40511,26748,0.66,39.011902,-98.484246,KS
0400000US21,21,Kentucky,22759,16969,0.75,37388,26094,0.70,37.839333,-84.270018,KY
0400000US22,22,Louisiana,27428,18850,0.69,40288,25114,0.62,31.244823,-92.145024,LA
0400000US23,23,Maine,21432,14869,0.69,37438,29270,0.78,45.253783,-69.445469,ME
0400000US24,24,Maryland,35489,25589,0.72,50230,38304,0.76,39.045755,-76.641271,MD
0400000US25,25,Massachusetts,31025,20820,0.67,50967,36461,0.72,42.407211,-71.382437,MA
0400000US26,26,Michigan,25406,18299,0.72,40697,26627,0.65,44.314844,-85.602364,MI
0400000US27,27,Minnesota,24029,18329,0.76,45514,32297,0.71,46.729553,-94.6859,MN
0400000US28,28,Mississippi,25127,18002,0.72,35755,25069,0.70,32.354668,-89.398528,MS
0400000US29,29,Missouri,26316,18629,0.71,38354,27718,0.72,37.964253,-91.831833,MO
0400000US30,30,Montana,21489,16326,0.76,35447,25092,0.71,46.879682,-110.362566,MT
0400000US31,31,Nebraska,27223,20840,0.77,41230,28140,0.68,41.492537,-99.901813,NE
0400000US32,32,Nevada,31341,24152,0.77,37215,30127,0.81,38.80261,-116.419389,NV
0400000US33,33,New Hampshire,29199,21552,0.74,47767,31786,0.67,43.193852,-71.572395,NH
0400000US34,34,New Jersey,31018,22353,0.72,51107,35252,0.69,40.058324,-74.405661,NJ
0400000US35,35,New Mexico,21194,16858,0.80,32433,25144,0.78,34.97273,-105.032363,NM
0400000US36,36,New York,27561,21069,0.76,42953,32894,0.77,43.299428,-74.217933,NY
0400000US37,37,North Carolina,24831,18051,0.73,36931,27745,0.75,35.759573,-79.0193,NC
0400000US38,38,North Dakota,32858,15045,0.46,42121,31166,0.74,47.551493,-101.002012,ND
0400000US39,39,Ohio,25713,17329,0.67,40801,27389,0.67,40.417287,-82.907123,OH
0400000US40,40,Oklahoma,27499,19405,0.71,36785,25644,0.70,35.007752,-97.092877,OK
0400000US41,41,Oregon,27017,16246,0.60,39330,28039,0.71,43.804133,-120.554201,OR
0400000US42,42,Pennsylvania,26863,18105,0.67,42039,30259,0.72,41.203322,-77.194525,PA
0400000US44,44,Rhode Island,26871,20039,0.75,43712,31170,0.71,41.580095,-71.477429,RI
0400000US45,45,South Carolina,26964,18459,0.68,35763,25573,0.72,33.836081,-81.163725,SC
0400000US46,46,South Dakota,28109,14804,0.53,38054,27298,0.72,43.969515,-99.901813,SD
0400000US47,47,Tennessee,26128,20283,0.78,36228,27089,0.75,35.517491,-86.580447,TN
0400000US48,48,Texas,28307,20007,0.71,39870,27788,0.70,31.968599,-99.901813,TX
0400000US49,49,Utah,30318,18057,0.60,41044,22940,0.56,39.32098,-111.093731,UT
0400000US50,50,Vermont,22676,16131,0.71,36590,28881,0.79,44.558803,-72.577841,VT
0400000US51,51,Virginia,32232,20930,0.65,46482,31550,0.68,37.431573,-78.656894,VA
0400000US53,53,Washington,32062,22244,0.69,48417,31722,0.66,47.751074,-120.740139,WA
0400000US54,54,West Virginia,25210,20204,0.80,36474,24609,0.67,38.597626,-80.454903,WV
0400000US55,55,Wisconsin,23351,15734,0.67,41966,29760,0.71,43.78444,-88.787868,WI
0400000US56,56,Wyoming,32097,14848,0.46,42109,27604,0.66,43.075968,-107.290284,WY