Id,Id2,Geography,"Male-Management, business, and financial occupations","Male-Computer, engineering, and science occupations","Male-Education, legal, community service, arts, and media occupations",Male-Healthcare practitioners and technical occupations,Male-Service occupations,Male-Sales and office occupations,"Male-Natural resources, construction, and maintenance occupations","Male-Production, transportation, and material moving occupations","Female-Management, business, and financial occupations","Female-Computer, engineering, and science occupations","Female-Education, legal, community service, arts, and media occupations",Female-Healthcare practitioners and technical occupations,Female-Service occupations,Female-Sales and office occupations,"Female-Natural resources, construction, and maintenance occupations","Female-Production, transportation, and material moving occupations"
0400000US01,1,Alabama,74757,77184,57270,65192,31213,45222,41326,39573,52739,70183,43942,50189,21564,30744,34495,27355
0400000US02,2,Alaska,75019,85830,68223,86187,43508,42100,65742,47033,57048,68171,54912,75023,30174,43194,50382,36094
0400000US04,4,Arizona,75834,82057,50917,72704,30154,42267,39484,37953,56074,63949,41415,62196,25252,35233,36362,26668
0400000US05,5,Arkansas,67112,66840,52753,62494,29442,46271,39775,36813,49626,56173,39598,49366,21945,30903,26974,27285
0400000US06,6,California,91823,101376,71623,86359,32939,47178,41971,37801,71728,82419,59738,74907,27395,40906,24697,26897
0400000US08,8,Colorado,81065,90464,58030,90350,32493,50008,43234,42217,61033,72332,46628,61451,28752,39667,36085,31749
0400000US09,9,Connecticut,100741,90465,75738,91787,42735,59054,51344,46211,74113,79388,61045,70849,31153,44618,42029,31796
0400000US10,10,Delaware,74427,85920,59423,123361,35693,45516,48015,40561,67359,81548,54046,72385,30922,38865,31845,31348
0400000US11,11,District of Columbia,100506,86665,93015,87062,36623,54716,38237,41478,80813,86181,71348,81785,32174,53734,202874,34003
0400000US12,12,Florida,71005,72427,52114,71092,30192,40550,35776,34761,53597,60840,41501,55257,23986,32205,27322,26179
0400000US13,13,Georgia,81297,80968,54960,76150,30968,47045,38674,36447,61593,69690,45635,54114,22926,33984,30455,26576
0400000US15,15,Hawaii,75908,76076,55525,82004,39461,47296,53813,44106,63629,61879,49121,79935,31555,37529,29777,35799
0400000US16,16,Idaho,62345,75915,50123,66155,31972,43084,38133,37014,47253,46285,36561,56443,22844,32114,30201,23498
0400000US17,17,Illinois,89212,83330,61603,81961,35275,51689,50570,41834,65991,75200,50313,61710,26029,38309,41356,27491
0400000US18,18,Indiana,76232,75644,53068,71744,35121,47425,46497,43677,52554,60065,41809,52308,22900,33348,33290,31165
0400000US19,19,Iowa,70339,75696,56146,77576,36775,47984,45748,42284,55293,61596,46894,53318,25189,34334,25370,32658
0400000US20,20,Kansas,75363,75303,56261,71975,33317,44813,41997,40929,52521,57083,42146,52093,22859,32336,30644,31138
0400000US21,21,Kentucky,70470,72410,51633,72549,30662,40957,44208,40937,51985,61702,42866,52400,24082,31369,37434,30752
0400000US22,22,Louisiana,75538,78371,53761,74730,32215,49722,41683,46442,49710,62335,42271,54006,20786,30260,28680,26608
0400000US23,23,Maine,68388,71822,51799,73106,34534,44136,43886,42693,55756,61439,44409,61195,25993,35917,32383,29643
0400000US24,24,Maryland,93902,97121,70971,90525,40155,51086,46881,42622,76813,85060,59021,65825,30126,41969,44883,30331
0400000US25,25,Massachusetts,101311,97041,72144,81309,41865,58257,52160,46046,74153,82071,58478,71920,31736,45896,49440,31954
0400000US26,26,Michigan,81240,81296,62407,75907,31999,46562,45857,41635,57413,66626,48306,58797,25100,35454,33184,30792
0400000US27,27,Minnesota,80834,81101,61362,81475,36543,51960,50885,42115,64758,71084,50243,61104,28258,40404,41116,31824
0400000US28,28,Mississippi,65527,62318,51232,68550,30827,41859,39917,38949,50192,58799,39415,50215,20932,29726,31213,28548
0400000US29,29,Missouri,70913,74845,53325,64986,31055,44568,42794,39707,55502,62004,41081,50450,23895,33440,36188,30586
0400000US30,30,Montana,60028,65784,48059,66501,31866,42196,42412,40401,45674,52163,42424,52169,24967,32681,32081,29595
0400000US31,31,Nebraska,65551,70346,52386,75049,34958,48579,42213,43296,52422,61102,45529,52883,25345,32845,30586,30884
0400000US32,32,Nevada,75769,73354,60160,77007,35065,40828,45084,37601,54274,66667,49278,70565,30356,33539,46122,26482
0400000US33,33,New Hampshire,91835,87516,61034,90089,39557,53164,50586,45259,66348,72573,49574,64357,29318,39320,35295,31176
0400000US34,34,New Jersey,101213,99904,74171,91310,40429,58140,53355,40380,78912,86283,59242,72430,26771,42378,45191,26992
0400000US35,35,New Mexico,62143,78191,46614,81778,28888,35341,38054,39362,51142,54224,42246,61235,21817,31066,39235,23551
0400000US36,36,New York,90938,85235,70876,85015,38849,50409,47010,40844,71029,70836,57548,67685,28046,41016,45833,31459
0400000US37,37,North Carolina,76772,80261,51305,67293,30593,47112,36693,36646,56385,63094,41680,55392,23661,34350,29275,26399
0400000US38,38,North Dakota,73454,62050,50490,75002,31099,50788,50954,46785,52486,67967,48986,51198,30616,36153,37970,31873
0400000US39,39,Ohio,76190,75100,54671,75167,35935,46824,46561,41235,55505,66681,46795,54382,25225,34638,37921,30402
0400000US40,40,Oklahoma,68494,71748,48770,70287,29236,42321,41340,40784,51707,56776,36893,51745,22248,31823,31669,28450
0400000US41,41,Oregon,74193,83143,60092,97147,33325,45392,41909,40470,57043,66925,50247,70233,26003,37110,28018,30923
0400000US42,42,Pennsylvania,79234,80666,60577,80462,36108,48264,47655,41995,60506,69083,49052,60600,26076,36299,34205,30897
0400000US44,44,Rhode Island,86054,86389,70298,86000,39137,51342,50363,44125,66386,65611,56143,76169,28740,39329,75552,23156
0400000US45,45,South Carolina,73412,76688,52356,76013,28475,46997,36945,38232,51413,61035,41279,52485,21899,31337,31911,27711
0400000US46,46,South Dakota,61200,62854,58632,77836,31741,44297,42181,41492,46747,46188,40539,51326,25753,30960,36414,30633
0400000US47,47,Tennessee,71089,71403,51202,72095,31182,42416,38155,37100,53656,60018,42347,50703,22163,32317,31594,28797
0400000US48,48,Texas,80918,85582,55472,80081,30787,45864,37668,40584,59266,71407,48905,59599,22411,33583,30008,26864
0400000US49,49,Utah,76505,77796,60684,85137,31001,46058,43208,41691,53022,60398,42466,51385,25363,32686,36802,27997
0400000US50,50,Vermont,70307,61743,52043,81646,31783,50168,41589,38576,54385,62031,46998,64839,26309,36386,33676,30568
0400000US51,51,Virginia,91986,95847,66053,77292,37203,51243,42371,41239,71354,81589,49713,57030,25431,36304,31501,30022
0400000US53,53,Washington,90423,101418,62264,90948,37199,51879,50823,46495,68579,81246,52232,70049,30558,40061,27432,31189
0400000US54,54,West Virginia,65668,63572,50448,68475,29083,41825,50890,41413,50431,66772,40792,51239,22776,30383,45923,31619
0400000US55,55,Wisconsin,75556,72430,55956,82288,37062,50261,47918,41993,56710,61031,46178,60932,26410,36466,35735,30751
0400000US56,56,Wyoming,71854,56532,56965,51258,34153,47407,49613,52046,50735,56953,48825,61119,30133,33897,32323,28836
0400000US72,72,Puerto Rico,35954,46997,34789,26711,17423,22643,19248,17545,32547,39719,26018,29115,17046,20462,22263,18566