id2,id,State,Male,Female,Earnings Ratio,latitude,longitude,state
0400000US01,1,Alabama,36713,24616,0.67,32.318231,-86.902298,AL
0400000US02,2,Alaska,43350,31734,0.73,63.588753,-154.493062,AK
0400000US04,4,Arizona,35887,28139,0.78,34.048928,-111.093731,AZ
0400000US05,5,Arkansas,34561,25470,0.74,35.20105,-91.831833,AR
0400000US06,6,California,40557,30598,0.75,36.778261,-119.417932,CA
0400000US08,8,Colorado,42277,31268,0.74,39.550051,-105.782067,CO
0400000US09,9,Connecticut,49253,33975,0.69,41.603221,-73.087749,CT
0400000US10,10,Delaware,40854,31966,0.78,38.910832,-75.52767,DE
0400000US11,11,District of Columbia,60167,51904,0.86,38.905985,-77.033418,DC
0400000US12,12,Florida,33572,26412,0.79,27.664827,-81.515754,FL
0400000US13,13,Georgia,37222,27421,0.74,32.157435,-82.907123,GA
0400000US15,15,Hawaii,42189,32265,0.77,19.898682,-155.665857,HI
0400000US16,16,Idaho,34165,20894,0.61,44.068202,-114.742041,ID
0400000US17,17,Illinois,42238,30039,0.71,40.633125,-89.398528,IL
0400000US18,18,Indiana,40283,26129,0.65,40.551217,-85.602364,IN
0400000US19,19,Iowa,40624,27348,0.67,41.878003,-93.097702,IA
0400000US20,20,Kansas,38674,26113,0.68,39.011902,-98.484246,KS
0400000US21,21,Kentucky,36142,25455,0.7,37.839333,-84.270018,KY
0400000US22,22,Louisiana,38263,24454,0.64,31.244823,-92.145024,LA
0400000US23,23,Maine,36359,27724,0.76,45.253783,-69.445469,ME
0400000US24,24,Maryland,49045,37218,0.76,39.045755,-76.641271,MD
0400000US25,25,Massachusetts,50224,35704,0.71,42.407211,-71.382437,MA
0400000US26,26,Michigan,39822,26156,0.66,44.314844,-85.602364,MI
0400000US27,27,Minnesota,43323,31706,0.73,46.729553,-94.6859,MN
0400000US28,28,Mississippi,34616,24441,0.71,32.354668,-89.398528,MS
0400000US29,29,Missouri,36751,27009,0.74,37.964253,-91.831833,MO
0400000US30,30,Montana,33221,24322,0.73,46.879682,-110.362566,MT
0400000US31,31,Nebraska,40448,27439,0.68,41.492537,-99.901813,NE
0400000US32,32,Nevada,36726,29422,0.8,38.80261,-116.419389,NV
0400000US33,33,New Hampshire,46197,31360,0.68,43.193852,-71.572395,NH
0400000US34,34,New Jersey,50432,34602,0.69,40.058324,-74.405661,NJ
0400000US35,35,New Mexico,31663,24171,0.76,34.97273,-105.032363,NM
0400000US36,36,New York,42037,32231,0.77,43.299428,-74.217933,NY
0400000US37,37,North Carolina,36026,27127,0.75,35.759573,-79.0193,NC
0400000US38,38,North Dakota,41686,30726,0.74,47.551493,-101.002012,ND
0400000US39,39,Ohio,39819,26728,0.67,40.417287,-82.907123,OH
0400000US40,40,Oklahoma,35769,25036,0.7,35.007752,-97.092877,OK
0400000US41,41,Oregon,37715,27107,0.72,43.804133,-120.554201,OR
0400000US42,42,Pennsylvania,41182,29255,0.71,41.203322,-77.194525,PA
0400000US44,44,Rhode Island,42084,30413,0.72,41.580095,-71.477429,RI
0400000US45,45,South Carolina,34621,25125,0.73,33.836081,-81.163725,SC
0400000US46,46,South Dakota,37012,26397,0.71,43.969515,-99.901813,SD
0400000US47,47,Tennessee,35552,26596,0.75,35.517491,-86.580447,TN
0400000US48,48,Texas,38129,27150,0.71,31.968599,-99.901813,TX
0400000US49,49,Utah,40450,22448,0.56,39.32098,-111.093731,UT
0400000US50,50,Vermont,35578,27410,0.77,44.558803,-72.577841,VT
0400000US51,51,Virginia,45226,31126,0.69,37.431573,-78.656894,VA
0400000US53,53,Washington,46620,31202,0.67,47.751074,-120.740139,WA
0400000US54,54,West Virginia,35166,24036,0.68,38.597626,-80.454903,WV
0400000US55,55,Wisconsin,41180,28623,0.7,43.78444,-88.787868,WI
0400000US56,56,Wyoming,40838,27108,0.66,43.075968,-107.290284,WY